id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful
4361726,Psychology,Communication Studies,5/12/2023,Bachelors,College Humanities & Sciences,Female,,22-Aug,8/1/2022,submitted,Working,Nemont,Telecommunications,Organization,Full-Time,Customer/Technical Support,Customer Service Representative,Yes,,,,,,40000,Annual Salary,,,No opinion,None of the above,,
4361727,Psychology,,5/13/2022,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Still Looking,,,,,,,,,,,Continuing Education,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
4361728,Chemistry,,5/1/2026,Doctorate,College Humanities & Sciences,Male,White/Caucasian,22-Aug,9/1/2022,submitted,Working,Maven Water and Environment,Scientific and Technical Consulting,Organization,Full-Time,Consulting,Biogeochemist (Scientist IV),,,,,,,52145.22,Annual Salary,0,3724.66,This position meets my expectations,"Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
4361729,"Cell, Molecular, Microbial Bio",,5/1/2026,Doctorate,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361730,Psychology,School Psychology,12/13/2019,Masters,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361731,Neuroscience,,5/1/2028,Doctorate,College of Health,Male,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,MONTANA STATE UNIVERSITY - BOZEMAN,,,,,,,,,,,,
4361732,Accounting~Accounting Information Systems,Accounting Information Systems,4/30/2021,Certificate,College of Business,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361733,Public Administration,Public Health Administration,4/30/2021,Certificate,School of Law,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
4361734,Management & Entrepreneurship,,5/12/2023,,College of Business,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361735,Commun Sci & Disorders,,5/6/2022,Bachelors,College of Health,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361736,Psychology,,5/1/2028,Doctorate,College Humanities & Sciences,Female,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
4361737,Speech Language Pathology,,5/12/2023,Masters,College of Health,Female,White/Caucasian,22-Aug,,submitted,Continuing Education,,,,,,,,MONTANA STATE UNIVERSITY - BOZEMAN,,,,,,,,,,,,
4361738,Neuroscience~Psychology,Neuroscience,5/13/2022,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,,,,,,,,,,,,,,,,,,,,,,,
