id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful,job_alignment_num,el_helpfulness_num,el_helpfulness_binary,el_count,el_participation_binary
4361726,Psychology,Communication Studies,5/12/2023,Bachelors,College Humanities & Sciences,Female,NA,22-Aug,8/1/2022,submitted,Working,Nemont,Telecommunications,Organization,Full-Time,Customer/Technical Support,Customer Service Representative,Yes,NA,NA,NA,NA,NA,40000,Annual Salary,NA,NA,No opinion,None of the above,NA,NA,2,NA,NA,0,0
4361727,Psychology,NA,5/13/2022,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Still Looking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Continuing Education,NA,NA,NA,NA,NA,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project",Yes,"Internship, field experience, student teaching, practicum or clinical placement",3,4,1,4,1
4361728,Chemistry,NA,5/1/2026,Doctorate,College Humanities & Sciences,Male,White/Caucasian,22-Aug,9/1/2022,submitted,Working,Maven Water and Environment,Scientific and Technical Consulting,Organization,Full-Time,Consulting,Biogeochemist (Scientist IV),NA,NA,NA,NA,NA,NA,52145.22,Annual Salary,0,3724.66,This position meets my expectations,"Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",3,3,1,2,1
4361767,Accounting,NA,4/30/2021,Bachelors,College of Business,Female,White/Caucasian,22-Aug,7/1/2022,submitted,Working,"PayScale, Inc.",Other Industries,Organization,Full-Time,Accounting,Staff Accountant,NA,NA,NA,NA,NA,NA,70000,Annual Salary,NA,NA,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement",3,3,1,3,1
4361769,Psychology,NA,7/27/2018,Masters,College Humanities & Sciences,Female,White/Caucasian,22-Aug,NA,submitted,Working,Other,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361770,Teaching School Mathematics,Mathematics,5/16/2015,Bachelors,College Humanities & Sciences,Male,NA,22-Aug,8/1/2022,submitted,Working,Missoula County Public Schools,K-12 Education,Faculty Non-Tenure,Full-Time,Education / Teaching / Training,Teacher,Yes,NA,NA,NA,NA,NA,30000,Annual Salary,0,0,This position meets my expectations,None of the above,NA,NA,3,NA,NA,0,0
4361780,Speech Lang Path/Aud Asst,Anthropology,11/25/2020,Bachelors,College of Health,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Still Looking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employment,NA,NA,NA,NA,NA,This position significantly fails to meet my expectations,None of the above,NA,NA,1,NA,NA,0,0
4361792,Marketing~Entertainment Management,Entertainment Management,5/13/2022,Certificate,College of Business,Female,Native American/Alaskan Native,22-Aug,7/1/2022,submitted,Still Looking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employment,NA,NA,NA,NA,NA,No opinion,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement",2,3,1,5,1
4361798,Education Leadership,NA,12/22/1995,Bachelors,College of Education,Female,White/Caucasian,22-Aug,7/1/2022,submitted,Working,Potomac School District 11,K-12 Education,Organization,Full-Time,Education / Teaching / Training,"Teacher, Instructional Coach",Yes,NA,NA,NA,NA,NA,55000,Annual Salary,0,0,This position meets my expectations,None of the above,NA,NA,3,NA,NA,0,0
4361806,Resource Conservation,"Parks, Tourism &Rec Management",5/8/2020,Bachelors,College of Forestry & Conserv,Male,White/Caucasian,22-Aug,8/1/2022,submitted,Working,"Montana Fish, Wildlife and Parks",Animal & Wildlife,Organization,Full-Time,Quality Assurance,AIS Roving Site Lead,NA,NA,NA,NA,NA,NA,33280,Hourly Wage,0,0,No opinion,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Community-based project (service learning or volunteerism), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",2,4,1,6,1
4361816,Computer Science,NA,5/13/2022,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,NA,submitted,Working,Other,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361823,Health & Human Performance~Pre-Prof-Phys Therapy,Health & Human Performance,5/13/2022,Associates,College of Health,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Still Looking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Continuing Education,NA,NA,NA,NA,NA,No opinion,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Community-based project (service learning or volunteerism), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",2,4,1,5,1
4361832,Computer Science,NA,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,22-Aug,NA,submitted,Working,Other,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361838,Enviro Sci and Sustainability,NA,5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,22-Aug,NA,submitted,Working,Other,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361868,Enviro Sci and Sustainability,NA,5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,22-Aug,NA,submitted,Working,Other,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361871,"Cell, Molecular, Microbial Bio",NA,5/1/2028,Masters,College Humanities & Sciences,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Still Looking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Continuing Education,NA,NA,NA,NA,NA,No opinion,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",2,4,1,5,1
4361880,Psychology,NA,5/13/2022,Bachelors,College Humanities & Sciences,Female,White/Caucasian,22-Aug,5/1/2022,submitted,Working,Montana Technical Solutions,Computer Networking,Organization,Part-Time,Customer/Technical Support,Customer Service Correspondence Clerk,Yes,NA,NA,NA,NA,NA,NA,Hourly Wage,NA,NA,No opinion,None of the above,NA,NA,2,NA,NA,0,0
4361887,Public Administration,Public Health,5/1/2026,Masters,School of Law,Female,NA,22-Aug,7/1/2022,submitted,Working,Pennsylvania State University,Higher Education,Organization,Full-Time,Administration,Director of Penn State Sokolov Miller Family Financial and Life Skills Center,Yes,NA,NA,NA,NA,NA,66000,Annual Salary,10000,NA,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement",3,3,1,3,1
4361892,Business Administration,NA,5/1/2025,Associates,College of Business,Female,White/Caucasian,22-Aug,NA,submitted,Working,Other,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361895,Speech Language Pathology,NA,5/1/2026,Masters,College of Health,Female,White/Caucasian,22-Aug,NA,submitted,Working,Other,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361897,Counselor Education,NA,5/1/2026,Masters,College of Education,Female,NA,22-Aug,NA,submitted,Working,Other,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361904,tDPT Bachelors~Rehabilitation Administration,tDPT Bachelors,5/1/2028,Doctorate,College of Health,Male,Asian/Asian American,22-Aug,8/1/2022,submitted,Working,Injury care center,Healthcare,Organization,Full-Time,Healthcare Services,Physical therapist,Yes,NA,NA,NA,NA,NA,90000,Annual Salary,0,0,This position fails to meet my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Neutral,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",1,2,0,1,1
4361912,tDPT Bachelors,NA,5/1/2028,Doctorate,College of Health,Male,Black or African American,22-Aug,7/1/2022,submitted,Still Looking,"I.B.B. Specialist Hospital, Minna",Healthcare,NA,NA,NA,NA,NA,NA,NA,NA,Employment,NA,NA,NA,NA,NA,This position fails to meet my expectations,None of the above,NA,NA,1,NA,NA,0,0
4361918,tDPT Masters,NA,5/1/2028,Doctorate,College of Health,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Working,Cleveland Clinic,Healthcare,Organization,Full-Time,Healthcare Services,Physical Therapist,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,This position meets my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",3,1,0,1,1
4361923,tDPT Bachelors,NA,5/1/2028,Doctorate,College of Health,Male,Asian/Asian American,22-Aug,7/1/2022,submitted,Working,Core Physical Therapy,Healthcare,Organization,Full-Time,Other,Geriatric Physical Therapist,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,This position meets my expectations,Study abroad or study away program,Neutral,Study abroad or study away program,3,2,0,1,1
4361926,Speech Language Pathology,NA,5/1/2026,Masters,College of Health,Female,White/Caucasian,22-Aug,NA,submitted,Working,Other,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361930,Geography,Geographic Information Systems,12/17/2021,Certificate,College of Forestry & Conserv,Female,White/Caucasian,22-Aug,NA,submitted,Working,Other,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361931,Public Administration,NA,5/1/2026,Masters,School of Law,Male,White/Caucasian,22-Aug,7/1/2022,submitted,Working,Central Valley Fire District,"Government - Local, State & Federal",Organization,Full-Time,Other,Fire Marshal,NA,NA,NA,NA,NA,NA,NA,Annual Salary,NA,NA,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Neutral,"Learning community or other formal program in which one group of students takes two or more classes together, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",3,2,0,5,1
4361934,Resource Conservation,NA,5/1/2026,Masters,College of Forestry & Conserv,Male,White/Caucasian,22-Aug,7/1/2022,submitted,Working,Center for Large Landscape Conservation,NGO,Organization,Full-Time,Environmental / Sustainability Mgmt,International Connectivity Program Coordinator,Yes,NA,NA,NA,NA,NA,53000,Annual Salary,0,0,This position meets my expectations,"Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",3,3,1,2,1
4361940,Speech Language Pathology,NA,5/1/2026,Masters,College of Health,Female,White/Caucasian,22-Aug,NA,submitted,Working,Other,NA,Organization,Full-Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361957,Fine Arts,NA,5/1/2026,Masters,College of the Arts and Media,Female,White/Caucasian,22-Aug,8/1/2022,submitted,Working,Great Falls Public School,K-12 Education,Faculty Tenure,Full-Time,Education / Teaching / Training,Art Teacher,Yes,NA,NA,NA,NA,NA,58000,Annual Salary,NA,NA,This position meets my expectations,"Learning community or other formal program in which one group of students takes two or more classes together, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,Learning community or other formal program in which one group of students takes two or more classes together,3,1,0,2,1
4361961,Speech Language Pathology Asst,NA,5/13/2022,Certificate,College of Health,Female,Latino(a),22-Aug,8/1/2022,submitted,Working,"RISE Services, Inc.",Healthcare,Organization,Full-Time,Administration,Clinical Supervisor,Yes,NA,NA,NA,NA,NA,48000,Annual Salary,NA,NA,No opinion,None of the above,NA,NA,2,NA,NA,0,0
4361973,tDPT Bachelors,NA,5/1/2028,Doctorate,College of Health,Female,Asian/Asian American,22-Aug,NA,submitted,Still Looking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4362000,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2028,Doctorate,College of Health,Female,White/Caucasian,22-Aug,7/1/2022,submitted,Working,Encompass Health,Healthcare,Organization,Full-Time,Administration,Director of Therapy Operations,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,This position meets my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",3,4,1,1,1
