id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful,el_count,el_participation_binary
4361731,Neuroscience,NA,5/1/2028,Doctorate,College of Health,Male,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,MONTANA STATE UNIVERSITY - BOZEMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361733,Public Administration,Public Health Administration,4/30/2021,Certificate,School of Law,Female,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361737,Speech Language Pathology,NA,5/12/2023,Masters,College of Health,Female,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,MONTANA STATE UNIVERSITY - BOZEMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361742,Psychology,NA,12/14/2018,Masters,College Humanities & Sciences,Male,NA,22-Aug,7/1/2022,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,George E. Wahlen Veterans Affairs Salt Lake City Health Care System,Postdoctoral Studies,Clinical Psychology,NA,NA,NA,NA,NA,NA,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement",6,1
4361752,Fine Arts,English,5/14/2016,Bachelors,College of the Arts and Media,Female,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,MONTANA STATE UNIVERSITY - NORTHERN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361754,Computer Science,NA,5/12/2012,Bachelors,College Humanities & Sciences,Male,NA,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,METROPOLITAN STATE UNIVERSITY OF DENVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361755,Fine Arts,Theatre,7/29/2016,Bachelors,College of the Arts and Media,Male,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,MONTANA STATE UNIVERSITY-BILLINGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361762,Fine Arts~Secondary Certification,Fine Arts,5/1/2025,Masters,College of the Arts and Media,Female,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,HELENA COLLEGE UNIVERSITY OF MONTANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361771,Education,NA,5/1/2025,Masters,College of Education,Female,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,MORAVIAN UNIVERSITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361772,Psychology,Medical Assisting,5/8/2020,Associates,College Humanities & Sciences,Female,White/Caucasian,22-Aug,NA,submitted,Continuing Education,NA,NA,NA,NA,NA,NA,NA,CUNY GRAD SCHOOL - SCHOOL OF PUBLIC HEALTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
